Points;x;y;z
01_02_P785;1006.122;1983.52;101.164
01_02_P784;1006.237;1982.948;101.135
01_02_P783;1006.372;1982.277;101.094
01_02_P782;1006.542;1981.427;101.031
01_02_P781;1006.825;1980.68;100.963
01_02_P780;1006.169;1980.402;100.98
01_02_P779;1006.032;1981.096;101.042
01_02_P778;1005.884;1981.835;101.097
01_02_P777;1005.726;1982.618;101.146
01_02_P776;1005.593;1983.273;101.177
01_02_P775;1005.823;1982.733;101.15
01_02_P774;1005.96;1982.055;101.111
01_02_P773;1006.083;1981.443;101.069
01_02_P772;1006.251;1980.601;101
01_02_P771;1006.409;1979.81;100.926
01_02_P770;1006.603;1979.363;100.891
01_02_P769;1006.472;1980.03;100.959
01_02_P768;1006.314;1980.826;101.029
01_02_P767;1006.172;1981.536;101.082
01_02_P766;1006.019;1982.284;101.162
01_02_P765;1006.225;1981.776;101.135
01_02_P764;1006.332;1981.233;101.169
01_02_P763;1006.464;1980.556;101.142
01_02_P762;1006.636;1979.673;101.094
01_02_P761;1006.791;1978.88;101.041
01_02_P760;1006.092;1978.639;100.942
01_02_P759;1005.952;1979.359;100.915
01_02_P758;1005.796;1980.166;100.995
01_02_P757;1005.623;1981.058;101.069
01_02_P756;1005.53;1981.534;101.101
01_02_P755;1005.397;1981.989;101.119
01_02_P754;1005.492;1981.505;101.086
01_02_P753;1005.636;1980.762;101.028
01_02_P752;1005.822;1979.794;100.936
01_02_P751;1005.957;1979.101;100.863
01_02_P750;1005.814;1979.604;100.913
01_02_P749;1005.659;1980.407;100.994
01_02_P748;1005.53;1981.073;101.052
01_02_P747;1005.372;1981.885;101.112
01_02_P746;1005.248;1982.508;101.15
01_02_P745;1005.079;1983.107;101.175
01_02_P744;1005.199;1982.502;101.141
01_02_P743;1005.347;1981.742;101.089
01_02_P742;1005.499;1980.965;101.026
01_02_P741;1005.652;1980.183;100.956
01_02_P740;1004.688;1979.947;100.974
01_02_P739;1004.631;1980.568;101.031
01_02_P738;1004.567;1981.273;101.088
01_02_P737;1004.475;1982.264;101.154
01_02_P736;1004.413;1982.908;101.187
01_02_P735;1004.501;1982.413;101.165
