Point_Encoder,x_Encoder,y_Encoder,z_Encoder,encoder_0,encoder_1,encoder_2,encoder_3,encoder_4,encoder_5,encoder_6,encoder_7,x_TS,y_TS,z_TS,delta_x,delta_y,delta_z,Norm
01_02_P36,-3121.5716,7510.049891,5303.42212,0.7175740699380091,0.8764063673287261,1.6700000000000002,0.9304072847522628,0.5582491645413198,2.890035518943116,-0.2300971181828461,0.8007379712763046,-3104.352930961909,7510.23817740861,5292.134946053096,17.21866903809132,0.1882864086101108,-11.28717394690375,20.58927660027556
01_02_P37,-3013.725164,6926.935631,5336.335973,0.7175740699380091,0.8763823988789153,1.6700000000000002,0.9303353794028306,0.5583210698907519,2.297880427585522,-0.2300971181828461,0.8076408848217901,-2988.016862670861,6930.70543246904,5345.395783049469,25.708301329138976,3.769801469039521,9.059810049468979,27.517418455920616
01_02_P38,-2881.237885,6205.584917,5378.256144,0.7175740699380091,0.8763823988789153,1.6701,0.9301196633545342,0.5583690067903734,1.5578239224911412,-0.2293301277889033,0.786932144185334,-2843.1834365117084,6204.909724131994,5406.008227534386,38.054448488291655,-0.6751928680059791,27.752083534385747,47.1038753783229
01_02_P39,-2756.613267,5523.842814,5417.103449,0.7175740699380091,0.8763823988789153,1.6701,0.9298799788564271,0.5582251960915091,0.8621687473158841,-0.2277961470010177,0.7807962210337913,-2707.4254860248175,5517.735154142201,5457.026746124882,49.187780975182704,-6.107659857798353,39.92329712488208,63.644410277122724
01_02_P40,-2616.519927,4757.194492,5461.266002,0.7175740699380091,0.8763823988789153,1.6700000000000002,0.9292088622617272,0.5576978901956734,0.0806641330085239,-0.2270291566070749,0.7761942786701345,-2558.7535824502083,4744.771728067917,5505.495365240591,57.766344549791484,-12.42276393208249,44.22936324059083,73.80726386356292
01_02_P41,-2168.527253,5077.955784,5457.114346,0.5674285311438877,0.8764543042283475,1.6700000000000002,0.9290171146632414,0.4142467180785552,0.0806641330085239,-0.2277961470010177,0.7761942786701345,-2124.7832732213965,5059.957561050169,5503.863986887012,43.743979778603716,-17.99822294983096,46.74964088701199,66.50564426638762
01_02_P42,-2260.430069,5596.851122,5426.527929,0.5674285311438877,0.8764543042283475,1.6700000000000002,0.9292328307115378,0.4144384656770409,0.6108702690883921,-0.2277961470010177,0.7853981633974483,-2214.2666198005827,5578.525465000439,5473.301596970941,46.1634491994173,-18.325656999561033,46.77366797094146,68.22514024836165
01_02_P43,-2394.271538,6359.380411,5381.792354,0.5674285311438877,0.8764782726781583,1.6700000000000002,0.9295444205590772,0.4148698977736338,1.3888035467278568,-0.2285631373949605,0.7946020481247621,-2354.907274882521,6347.613884310931,5421.753469740651,39.36426311747891,-11.766526689068996,39.96111574065071,57.31393488798658
01_02_P44,-2507.418004,7010.407471,5342.721706,0.5674285311438877,0.8765022411279689,1.6699000000000002,0.9298799788564271,0.415349266769848,2.054445757982531,-0.2293301277889033,0.8084078752157329,-2478.0787114679015,7007.015734941888,5368.0413054376,29.339292532098625,-3.391736058112656,25.319599437600118,38.90218599837906
01_02_P45,-2646.835752,7811.969196,5291.277964,0.5674285311438877,0.876334461979294,1.6699000000000002,0.9307668114994236,0.4159005411154944,2.866409753293961,-0.2300971181828461,0.8007379712763046,-2627.8370552986416,7805.4717163463465,5294.078583664742,18.998696701358313,-6.4974796536534996,2.800619664742044,20.273410879928033
01_02_P46,-2474.492009,7559.785433,5047.255401,0.5674285311438877,0.8762625566298619,1.2143000000000002,0.9089315537218638,0.4159484780151158,2.866341073742656,-0.230864108576789,0.8007379712763046,-2449.7006954488825,7556.967562579075,5060.473954301557,24.791313551117582,-2.817870420924919,13.218553301556312,28.23614302069309
01_02_P47,-2361.760416,6922.788213,5074.207672,0.5674285311438877,0.8762146197302404,1.2144,0.9083083740267852,0.4159484780151158,2.220856310796199,-0.230864108576789,0.8076408848217901,-2332.3429799487485,6923.221635403934,5102.785494113448,29.41743605125157,0.43342240393394604,28.577822113448747,41.015427774894995
01_02_P48,-2230.898458,6178.302997,5106.273494,0.5674285311438877,0.8761906512804296,1.2145,0.907325667584546,0.415852604215873,1.4590970674892227,-0.2300971181828461,0.786932144185334,-2193.274222525133,6171.943579643312,5146.007752741099,37.624235474866964,-6.359417356688027,39.73425874109853,55.08935107522458
01_02_P49,-2107.740067,5475.293311,5136.167892,0.5674285311438877,0.876334461979294,1.2146,0.9062231188932532,0.4154930774687123,0.7446580350318615,-0.2285631373949605,0.782330201821677,-2064.4158621096267,5464.241725173906,5178.559375308254,43.324204890373494,-11.051585826094197,42.391483308253555,61.613002976064465
01_02_P50,-1995.480086,4840.828844,5162.780294,0.5674285311438877,0.8766939887264547,1.2146,0.905240412451014,0.4151335507215516,0.1006498824384775,-0.2277961470010177,0.77772825945802,-1949.3353052379234,4827.094709167568,5202.975464766894,46.14478076207661,-13.734134832431664,40.19517076689408,62.71856985100429
01_02_P51,-1780.942671,4526.752597,4731.189655,0.5674285311438877,0.8773411368713439,0.6382,0.9051924755513926,0.4151335507215516,0.1011306392976173,-0.2285631373949605,0.7754272882761916,-1745.6552953086657,4513.273816633955,4769.095411106236,35.28737569133432,-13.478780366044703,37.90575610623546,53.51376224227606
01_02_P52,-1863.955762,4997.264941,4715.232175,0.5674285311438877,0.8775568529196404,0.6383,0.9054321600494996,0.4152054560709838,0.5825399541747982,-0.2285631373949605,0.7853981633974483,-1831.7201967258825,4985.245844467272,4756.397470847532,32.23556527411756,-12.019096532728327,41.165295847531524,53.64859674045289
01_02_P53,-2003.809438,5791.7395,4686.636586,0.5674285311438877,0.877580821369451,0.6383,0.9057916867966604,0.4154451405690909,1.3937484744218658,-0.2293301277889033,0.8007379712763046,-1978.6333972837156,5785.639032523704,4727.3586000910655,25.176040716284433,-6.100467476295307,40.72201409106583,48.26314495772434
01_02_P54,-2133.008332,6530.959603,4660.367665,0.5674285311438877,0.8776287582690725,0.6383,0.9060313712947676,0.4158046673162516,2.1465793760591034,-0.2300971181828461,0.8076408848217901,-2115.4053629727514,6530.104702716244,4691.229729271299,17.60296902724849,-0.8549002837562512,30.86206427129946,35.53958896998184
01_02_P55,-2263.455557,7278.74729,4631.105904,0.5674285311438877,0.8773890737709653,0.6383,0.906414866491739,0.4163080047622766,2.9030502939155425,-0.2300971181828461,0.7999709808823618,-2252.3511821619877,7274.391971733394,4646.104306446376,11.104374838012518,-4.355318266606446,14.998402446375621,19.16319424547921
01_02_P56,-2042.096338,6954.358052,4177.043797,0.5674285311438877,0.877245263072101,0.0401,0.9068223301385212,0.416355941661898,2.902947274588584,-0.2316310989707318,0.8022719520641903,-2034.6038680741003,6951.756042541547,4205.124528676379,7.492469925899741,-2.6020094584528124,28.08073167637849,29.17936000485885
01_02_P57,-1918.466978,6253.221838,4202.551595,0.5674285311438877,0.8771973261724796,0.0401,0.9066305825400354,0.4163319732120873,2.192079578799118,-0.2316310989707318,0.8084078752157329,-1906.8805870199412,6254.12589939242,4242.500280794843,11.586390980058695,0.9040613924198624,39.948685794843186,41.60479875782546
01_02_P58,-1780.919383,5467.49377,4233.457056,0.5674285311438877,0.8775568529196404,0.0401,0.9064388349415496,0.4160922887139802,1.3891126047087323,-0.2300971181828461,0.7853981633974483,-1763.0590245393023,5462.779044231638,4277.42180700136,17.860358460697626,-4.714725768361859,43.96475100136013,47.68773819366007
01_02_P59,-1661.549794,4773.750045,4260.21093,0.5678744446307099,0.877916379666801,0.0401,0.9061032766441997,0.4157567304166302,0.685284562928099,-0.2285631373949605,0.7807962210337913,-1637.6516942499393,4766.824815922291,4300.80371470504,23.898099750060737,-6.925229077708536,40.592784705039776,47.61147067201667
01_02_P60,-1549.685037,4144.619443,4285.471513,0.5678744446307099,0.8784436855626367,0.0401,0.9054800969491212,0.4153972036694695,0.0468051142148225,-0.2285631373949605,0.7761942786701345,-1521.9079314597366,4136.519027667191,4316.067877548732,27.777105540263392,-8.100415332808552,30.5963645487318,42.11082811294291
01_02_P61,-1019.876945,4337.04509,4290.103416,0.4137772658411411,0.8785395593618796,0.0466,0.9053123178004462,0.3544454358008259,0.0469424733174339,-0.2285631373949605,0.7761942786701345,-1001.8459000942812,4324.7973931297565,4322.292074755637,18.031044905718772,-12.24769687024309,32.188658755637334,38.87459853817499
01_02_P62,-1068.16795,4918.420243,4270.114842,0.4137772658411411,0.8785635278116902,0.0466,0.905575970748364,0.354277656652151,0.6339465983271014,-0.2293301277889033,0.7884661249732196,-1054.4225970650132,4907.600444389345,4309.750369201851,13.74535293498684,-10.819798610654288,39.63552720185089,43.32410167390814
01_02_P63,-1145.150069,5840.965876,4238.102117,0.4137772658411411,0.8786114647113117,0.0466,0.905911529045714,0.3540859090536652,1.5655503720130304,-0.2300971181828461,0.8084078752157329,-1140.3052877533355,5839.47454621898,4280.926389966453,4.844781246664525,-1.4913297810198856,42.824272966452554,43.12324576083099
01_02_P64,-1199.961337,6494.521286,4214.53023,0.4137772658411411,0.8785395593618796,0.0466,0.9061751819936318,0.3540619406038545,2.2211997085527275,-0.2300971181828461,0.8076408848217901,-1200.8634853274316,6494.809916599934,4252.094861484494,-0.9021483274316324,0.28863059993364004,37.564631484493475,37.57657139486923
01_02_P65,-1255.817249,7162.545584,4185.9267,0.4137772658411411,0.8781081272652868,0.0466,0.9068942354879532,0.3541338459532867,2.8883185301604737,-0.230864108576789,0.8007379712763046,-1263.764898779641,7158.956758252998,4216.131200546897,-7.947649779641097,-3.5888257470023746,30.20450054689718,31.438140220911418
01_02_P66,-1425.713558,7521.310757,4634.808058,0.4137772658411411,0.8773411368713439,0.6484,0.9069421723875746,0.3542297197525295,2.888146831282209,-0.2316310989707318,0.8022719520641903,-1439.309349633163,7513.500694192771,4652.661546871883,-13.595791633163117,-7.81006280722886,17.8534888718832,23.761096272767066
01_02_P67,-1675.276106,6785.580897,4660.158105,0.4141977531775627,0.8772931999717225,0.6483,0.9066305825400354,0.2801192729378045,2.1818119858789187,-0.2316310989707318,0.8084078752157329,-1678.7643986796184,6778.462927699593,4696.874229611126,-3.4882926796183256,-7.117969300406912,36.71612461112545,37.56204838982968
01_02_P68,-1555.025221,6021.074621,4688.641585,0.4141977531775627,0.877245263072101,0.6481,0.9063669295921176,0.2799994306887509,1.401268885289838,-0.2300971181828461,0.7853981633974483,-1548.3857265749066,6007.849340619032,4733.6451592505,6.639494425093517,-13.225280380967888,45.003574250499696,47.374176749536254
01_02_P69,-1456.942782,5391.736726,4711.427943,0.4141977531775627,0.8771973261724796,0.6481,0.9061272450940104,0.2795200616925367,0.7623773592687275,-0.2285631373949605,0.7800292306398485,-1442.4132303399801,5374.475213002825,4757.162057608611,14.529551660019933,-17.261512997175487,45.73411460861098,50.99683266072915
01_02_P70,-1348.443521,4706.816395,4738.384708,0.4141977531775627,0.8773411368713439,0.648,0.905240412451014,0.2789687873468903,0.0684735126517653,-0.2285631373949605,0.7761942786701345,-1326.2918672293154,4688.251485489673,4777.529306489612,22.15165377068456,-18.564909510327197,39.14459848961269,48.65851642637606
01_02_P71,-1513.913093,5053.358388,5180.841083,0.4141977531775627,0.8774609791203974,1.2338,0.9052643809008248,0.2788729135476474,0.068542192203071,-0.2277961470010177,0.7761942786701345,-1475.5233651432036,5034.512022910349,5219.717728155729,38.3897278567963,-18.846365089651044,38.87664515572851,57.795762998473585
