Points,Encoder_X,Encoder_Y,Encoder_Z,Error_X_Before,Error_Y_Before,Error_Z_Before,Transformed_Encoder_X,Transformed_Encoder_Y,Transformed_Encoder_Z,Error_X_After,Error_Y_After,Error_Z_After,Norm_Error_Before,Norm_Error_After
10_12_G3_P1,14.57775771,6308.892611,-82.83430947,-38.29273697,-3.8940130000000863,-10.337910980000004,-22.180621489673115,6309.643192894221,-95.25615607012038,-1.534357770326885,-4.6445948942209725,2.0839356201203856,39.85435290314195,5.31688848553292
10_12_G3_P2,11.47675608,6379.914048,62.32346403,-36.70305294,-3.0786599999992177,-10.86445929,-25.582302851671248,6380.575196752987,49.938607349994314,0.35600599167124614,-3.7398087529863915,1.5203973900056837,38.400894757493674,4.052717359816195
10_12_G3_P3,11.07018275,6466.229861,285.2548171,-36.98262894,-3.0248729999993884,-12.44355680000001,-26.317497645352166,6466.779555171912,272.9122406242929,0.40505145535216514,-3.57456717191144,-0.10098032429289105,39.13702602159082,3.598860121466817
10_12_G3_P4,11.04397406,6534.923378,540.3013302,-37.71626158,-2.7043630000007397,-12.779477000000043,-26.54371114825811,6535.348650141821,527.9921337002702,-0.12857637174188952,-3.1296351418213817,-0.470280500270178,39.914220513499785,3.1673824766245104
10_12_G3_P5,11.18362989,6569.587368,749.7010562,-38.53519177,-1.2782080000006317,-13.826042200000074,-26.441020695008536,6569.9118051649475,737.4085483502784,-0.9105411849914624,-1.6026451649477167,-1.5335343502783871,40.9603987206927,2.3977665394653638
10_12_G3_P6,11.88600848,6584.429643,1133.89343,-38.74069307,-0.5685400000002119,-14.21783100000016,-25.521028726344795,6584.572528455127,1121.607433507855,-1.3336558636552063,-0.7114254551270278,-1.931834507855001,41.27119159438108,2.452906175662654
10_12_G3_P7,12.7535349,6565.027933,1354.25902,-38.77443708,0.18998999999985244,-13.154569999999921,-24.365265742474374,6565.06988593485,1341.9627905013099,-1.6556364375256258,0.1480370651497651,-0.85834050130984,40.945522086741995,1.8707740115015306
10_12_G3_P8,13.76158244,6534.689556,1530.288897,-39.34833621,-0.008953000000474276,-12.52578299999982,-23.040097694045286,6534.652983886115,1517.9770140029157,-2.546656075954715,0.02761911388461158,-0.21390000291557953,41.29390853884493,2.555772524286174
10_12_G3_P9,9.115567798,6457.718822,1806.428001,-35.556324788,-1.628205999999409,-9.995038999999906,-27.016539584052836,6457.523114305949,1794.082166491813,0.5757825940528356,-1.432498305948684,2.3507955081870477,36.970313655955046,2.81243960174658
10_12_G3_P10,-84.32133092,6338.93661,2076.935021,-40.14457048000001,-1.9473440000001574,-8.584904999999708,-119.54199851114495,6338.065353731387,2064.604991199402,-4.923902888855054,-1.0760877313878154,3.745124800598205,41.09840972029264,6.2792311819660105
10_12_G4_P1,1832.588888,5572.946238,1648.6333,-29.96265399999993,8.734909999999218,-24.87347899999986,1801.4797106169644,5583.518011912784,1634.4163074556534,1.1465233830356283,-1.8368639127838833,-10.656486455653294,39.909262646599124,10.87424886975911
10_12_G4_P2,1633.718669,5822.254005,1655.804383,-32.0319320000001,8.827245000000403,-24.050343999999996,1601.1590957253095,5831.653671679988,1641.8659198180985,0.5276412746904953,-0.5724216799881106,-10.111880818098598,41.01687419173965,10.14180484795028
10_12_G4_P3,1446.135618,6001.481512,1661.332659,-33.703690999999935,7.194770999999491,-24.32305599999995,1412.53442845223,6009.777157612667,1647.6296667544916,-0.10250145222994433,-1.1008746126672122,-10.620063754491639,42.1819223121119,10.677461571459364
10_12_G4_P4,1058.543993,6259.178308,1595.40543,-21.262670999999955,0.24705700000049546,-22.870018000000073,1023.3886490115439,6265.232052953387,1582.1341344458926,13.892672988456184,-5.806687953387154,-9.59872244589269,31.22819140673721,17.85663631106026
10_12_G4_P5,698.5604012,6409.704644,1599.779094,-35.0611447,5.867858999999953,-19.824902000000066,662.5335628719191,6413.64605041605,1586.8654446149767,0.965693628080885,1.926452583950777,-6.911252614976775,40.7031003269754,7.239419621043523
10_12_G4_P6,127.5079905,6507.748784,1603.001184,-38.38451688000001,2.0748399999993126,-15.419059000000061,90.91968090562328,6508.343548438503,1590.5863088020033,-1.7962072856232822,1.4800755614969603,-3.0041838020033538,41.41767107868434,3.8002769105534964
10_12_G4_P7,-345.6142791,6471.107899,1605.514473,-39.464395300000035,-0.7607959999995728,-15.116937000000007,-381.9778291547468,6468.932048601592,1593.4554072567976,-3.100845245253197,1.4150543984078467,-3.0578712567976254,42.26747083999999,4.579104367516845
10_12_G4_P8,-769.8858748,6343.836923,1605.886462,-37.20179469999994,-4.782008000000133,-14.612077999999883,-805.4966291681473,6339.179065756456,1594.100468208807,-1.591040331852696,-0.12415075645640172,-2.826084208806833,40.25362036998771,3.2455469035553897
10_12_G4_P9,-1109.17078,6165.434357,1604.818939,-35.78466900000012,-4.677443999999923,-13.97509500000001,-1143.7320174044348,6158.79364963736,1593.2139844234218,-1.2234315955652164,1.9632633626397364,-2.3701404234218444,38.70044312500479,3.3119108573222524
10_12_G4_P10,-1661.325585,5653.619059,1597.023779,-28.675167999999985,-5.495178999999553,-13.860330000000204,-1692.8869875286962,5643.758191789253,1585.6055405710551,2.88623452869615,4.3656882107470665,-2.4420915710552435,32.31982363471628,5.77523978285862
10_12_G5_P1,-114.1804635,6505.795809,1592.641002,-36.82531399999999,0.031912999999804015,-13.424005999999963,-150.76133346937198,6504.980570356954,1580.4160606029557,-0.24444403062801712,0.8471516430463453,-1.1990646029555592,39.19577409270289,1.4883463012641804
10_12_G5_P2,-118.80688,6747.066829,1589.280092,-38.9362476,-1.2601300000005722,-8.759794000000056,-156.80283311323262,6746.221962227837,1577.1763588030637,-0.9402944867673853,-0.4152632278373858,3.3439391969361623,39.92935381029656,3.498360562184111
10_12_G5_P3,-123.2168917,6971.534504,1585.642492,-40.92905119999999,-0.7814950000001772,-5.523889000000054,-162.5297773387675,6970.661699589825,1573.6516092262639,-1.616165561232492,0.09130941017519945,6.4669937737360215,41.30752130365083,6.666508606402676
10_12_G5_P4,-127.91303,7216.913703,1581.92593,-43.1360973,-1.2441209999997227,-3.601223000000118,-168.66533043514298,7216.01096299798,1570.0583122455794,-2.3837968648570325,-0.3413809979792859,8.266394754420617,43.30403600628281,8.610012236611295
10_12_G5_P5,-133.5655826,7538.975904,1576.123459,-46.2803892,-0.4277670000001308,-1.1234419999998408,-176.20786836133485,7538.037312202097,1564.4172242773063,-3.638103438665155,0.5108247979023872,10.582792722693739,46.29599908239512,11.202331918671165
10_12_G5_P6,-139.9505324,7900.223013,1568.816536,-50.66834010000002,0.1207140000005893,0.10930699999994431,-184.71338776054074,7899.244331234287,1557.2913551960085,-5.905484739459268,1.0993957657137798,11.634487803991533,50.66860180012189,13.093690370513709
10_12_G5_P7,-144.8126138,8180.956912,1562.698884,-53.666979,1.2053980000000593,-0.2918449999999666,-191.22376519249934,8179.947871746909,1551.314325946698,-7.255827607500663,2.2144382530905204,11.09271305330185,53.681307666904594,13.438714742467475
10_12_G5_P8,-150.2811417,8513.517799,1554.627378,-57.336426700000004,2.4177600000002712,-0.7593620000000101,-198.6455437453545,8512.474898230066,1543.4091738222535,-8.972024654645509,3.4606607699333836,10.458842177746419,57.39240385964957,14.207771784031802
10_12_G5_P9,-153.4783115,8942.539012,1544.092936,-65.62805940000001,2.0635259999999107,-3.627443000000085,-204.36267449920624,8941.475073131232,1533.0862906162401,-14.743696400793766,3.127464868766765,7.379202383759775,65.76061635113265,16.781246910901327
10_12_G5_P10,-160.5308578,9414.686275,1531.284037,-72.1185576,-0.5406760000005306,-9.00918200000001,-214.18939491605133,9413.579079044446,1520.5130083143067,-18.460020483948682,0.5665199555533036,1.7618466856931718,72.6811119972075,18.552557906437944
10_12_G6_P1,-379.2214064,6549.969446,1952.085392,-35.4254813,0.5863630000003468,-10.744437000000062,-415.77135902882407,6547.428219818864,1940.0911424890078,1.124471328824086,3.1275891811365,1.2498125109921148,37.02366099336193,3.550814155646829
10_12_G6_P2,-340.1846746,6552.336937,1822.473604,-35.47762130000001,-0.39799200000015844,-11.778309000000036,-376.851901591552,6550.08677156826,1810.4497333359084,1.1896056915520035,1.8521734317400842,0.2455616640916105,37.38380095225418,2.2149511627772296
10_12_G6_P3,-194.1148547,6557.620821,1708.251602,-36.3633322,-0.39760800000021845,-11.848261000000093,-230.90609944489898,6556.28089587788,1696.1149918246824,0.42791254489898733,0.9423171221205848,0.2883491753175349,38.24697778300064,1.0743444287703323
10_12_G6_P4,-82.04763192,6560.939899,1697.70543,-37.701797080000006,0.7041879999997036,-15.035188000000062,-118.86862274208492,6560.261136785614,1685.4819329689903,-0.8808062579150828,1.382950214385346,-2.8116909689904332,40.59529852084089,3.2548390228324977
10_12_G6_P5,26.93086932,6483.094533,1584.753165,-36.490450756,0.9865499999996246,-14.199727000000166,-9.525812663740629,6483.109670710267,1572.4057193986005,-0.03376877225937136,0.9714122897330526,-1.852281398600553,39.168335733767066,2.0918242149439656
10_12_G6_P6,205.2265107,6487.574747,1716.596097,-35.84816620000001,2.4296940000003815,-14.771442000000206,168.84498949890317,6488.570065705325,1704.109963040561,0.5333550010968224,1.434375294675192,-2.2853080405611763,38.8482938054663,2.7503695903320153
10_12_G6_P7,294.3503351,6463.355023,1851.98489,-35.30841889999999,1.4087730000001102,-17.943164000000024,258.2163626306349,6464.807223974184,1839.416509052661,0.8255535693651268,-0.04342797418394184,-5.374783052661087,39.63112691956037,5.437988373287134
10_12_G6_P8,292.8278829,6461.86094,2071.679041,-33.43362870000004,2.1909360000008746,-19.56079499999987,256.87681788047416,6463.198230635563,2059.1110399099894,2.517436319525814,0.8536453644373978,-6.992793909989359,38.79732503198625,7.481000113532776
10_12_G6_P9,195.9613453,6461.24726,2241.157631,-29.000596700000017,2.9051840000001903,-18.619208999999955,160.14989553001794,6461.9356385561,2228.6657612597423,6.810853069982045,2.216805443900739,-6.127339259742257,34.58539643860669,9.425827938222222
10_12_G6_P10,86.51405887,6458.052638,2325.813197,-27.225637749999997,4.1855930000001536,-16.614486999999826,50.79032140185424,6458.059426148061,2313.4061736688645,8.49809971814576,4.178804851939276,-4.2074636688644205,32.1682408273912,10.362570112426468
10_12_G7_P1,20.4888604,6186.33705,1529.272816,-33.683746729999996,-1.529859999999644,-11.69976399999996,-14.274343404234063,6186.34636621608,1516.7858948566286,1.079457074234064,-1.5391762160797953,0.7871571433713598,35.690611413172505,2.03811367877757
10_12_G7_P2,16.0616652,6261.509825,1506.378819,-34.416916889999996,-2.2708730000003925,-13.224682999999914,-19.159699972825827,6261.502972160479,1493.9320301661294,0.8044482828258275,-2.264020160479049,-0.777894166129272,36.94013092621336,2.5254788972578956
10_12_G7_P3,12.93633428,6336.528458,1505.937412,-35.13588161,-1.374507999999878,-14.24423200000001,-22.72451620564489,6336.5022254907335,1493.5296425193399,0.5249688756448876,-1.348275490733613,-1.8364625193398751,37.938339368293704,2.3379550261390794
10_12_G7_P4,11.59110097,6406.149113,1525.170134,-36.19337625,-0.6534820000006221,-14.841640999999981,-24.462069804853826,6406.1045215134045,1512.7973394932674,-0.14020547514617476,-0.6088905134047309,-2.4688464932673924,39.123673532418564,2.5466857363824733
10_12_G7_P5,11.25511474,6465.314938,1560.217798,-36.78070073,0.8710489999994024,-15.077982999999904,-25.116651820473226,6465.250444726594,1547.8740807355573,-0.4089341695267734,0.9355422734060994,-2.734265735557301,39.76083806836205,2.918677031289881
10_12_G7_P6,-69.53917608,6521.303458,1604.992467,-37.68024502,1.8314159999999902,-13.766411999999946,-106.20182325247502,6520.743356665941,1592.739819147975,-1.017597847524982,2.3915173340592446,-1.5137641479748254,40.15805085765535,3.0077138218399804
10_12_G7_P7,-53.85356732,6550.489057,1660.005054,-38.23685557999999,2.091250999999829,-14.574941999999965,-90.64374869074966,6549.993739483279,1647.754214178404,-1.4466742092503324,2.586568516720945,-2.3241021784040186,40.973886680349715,3.766251969141784
10_12_G7_P8,-41.95220348,6561.720207,1700.830933,-39.854556839999994,6.972095000000081,-11.861758999999893,-78.77598493064879,6561.2746735213,1688.576148212223,-3.0307753893512057,7.417628478699953,0.3930257877771055,42.16274583297315,8.022548284589838
